City,Total greenspaces,Pocket parks,Small parks,District parks,Metropolitan parks,Regional parks
Asuncion,605,332,96,146,20,11
Bogota,546,144,93,220,64,25
Bridgetown,51,21,11,16,3,0
Buenos Aires,1703,617,372,543,106,65
Caracas,107,54,19,30,2,2
Guatemala City,180,56,43,68,12,1
Kingston,133,54,23,44,8,4
La Paz,86,14,14,40,10,8
Lima,132,17,32,65,15,3
Mexico City,1112,282,237,446,96,51
Montevideo,195,53,49,75,13,5
Nassau,115,62,19,25,3,6
Paramaribo,67,27,10,18,8,4
Port-au-Prince,218,80,35,78,18,7
Port of Spain,179,80,31,51,10,7
Quito,276,90,55,94,26,11
San Jose,359,93,70,152,29,15
San Salvador,152,54,24,50,14,10
Santiago,529,111,107,243,50,18
Santo Domingo,215,62,47,91,9,6
Sao Paolo,1715,569,371,623,105,47